Transport code output file.

Total source generations: 33
Right leakage: 1.28929e+10 neutrons, 0.323135%
Left leakage : 1.28929e+10 neutrons, 0.323135%

_____Total Flux_____
dist | flux
0.025 3.88705e+10
0.075 3.97241e+10
0.125 4.05421e+10
0.175 4.13304e+10
0.225 4.20935e+10
0.275 4.28348e+10
0.325 4.35572e+10
0.375 4.42629e+10
0.425 4.4954e+10
0.475 4.5632e+10
0.525 4.62982e+10
0.575 4.69538e+10
0.625 4.75998e+10
0.675 4.82372e+10
0.725 4.88665e+10
0.775 4.94886e+10
0.825 5.01039e+10
0.875 5.07131e+10
0.925 5.13165e+10
0.975 5.19147e+10
1.025 5.25079e+10
1.075 5.30965e+10
1.125 5.36809e+10
1.175 5.42612e+10
1.225 5.48378e+10
1.275 5.54108e+10
1.325 5.59805e+10
1.375 5.65471e+10
1.425 5.71108e+10
1.475 5.76717e+10
1.525 5.82299e+10
1.575 5.87858e+10
1.625 5.93394e+10
1.675 5.98907e+10
1.725 6.04401e+10
1.775 6.09875e+10
1.825 6.15332e+10
1.875 6.20771e+10
1.925 6.26196e+10
1.975 6.31605e+10
2.025 6.37001e+10
2.075 6.42384e+10
2.125 6.47757e+10
2.175 6.53118e+10
2.225 6.5847e+10
2.275 6.63813e+10
2.325 6.69149e+10
2.375 6.74478e+10
2.425 6.79801e+10
2.475 6.85119e+10
2.525 6.90433e+10
2.575 6.95743e+10
2.625 7.01051e+10
2.675 7.06357e+10
2.725 7.11662e+10
2.775 7.16967e+10
2.825 7.22271e+10
2.875 7.27577e+10
2.925 7.32884e+10
2.975 7.38193e+10
3.025 7.43504e+10
3.075 7.48817e+10
3.125 7.54133e+10
3.175 7.59451e+10
3.225 7.64771e+10
3.275 7.70092e+10
3.325 7.75413e+10
3.375 7.80734e+10
3.425 7.86051e+10
3.475 7.91362e+10
3.525 7.96665e+10
3.575 8.01954e+10
3.625 8.07225e+10
3.675 8.12469e+10
3.72501 8.17678e+10
3.77501 8.22837e+10
3.82501 8.27932e+10
3.87501 8.3294e+10
3.92501 8.37829e+10
3.97501 8.42555e+10
4.00751 8.44363e+10
4.02251 8.43719e+10
4.03751 8.43672e+10
4.05251 8.44009e+10
4.06751 8.44618e+10
4.08251 8.45426e+10
4.09751 8.46388e+10
4.11251 8.47471e+10
4.12751 8.48648e+10
4.14251 8.49904e+10
4.15751 8.51222e+10
4.17251 8.52592e+10
4.18751 8.54005e+10
4.20251 8.55451e+10
4.21751 8.56928e+10
4.23251 8.58426e+10
4.24751 8.59942e+10
4.26251 8.61473e+10
4.27751 8.63015e+10
4.29251 8.64565e+10
4.30751 8.6612e+10
4.32251 8.67677e+10
4.33751 8.69237e+10
4.35251 8.70795e+10
4.36751 8.7235e+10
4.38251 8.73902e+10
4.39752 8.75448e+10
4.41252 8.76989e+10
4.42752 8.78522e+10
4.44252 8.80046e+10
4.45752 8.81562e+10
4.47252 8.83068e+10
4.48752 8.84563e+10
4.50252 8.86047e+10
4.51752 8.8752e+10
4.53252 8.88981e+10
4.54752 8.90429e+10
4.56252 8.91864e+10
4.57752 8.93286e+10
4.59252 8.94694e+10
4.60752 8.96089e+10
