Transport code output file.

Total source generations: 82
Right leakage: 1.34197e+10 neutrons, 0.336338%
Left leakage : 1.34197e+10 neutrons, 0.336338%

_____Total Flux_____
dist | flux
0.025 3.95298e+10
0.075 4.05989e+10
0.125 4.16153e+10
0.175 4.259e+10
0.225 4.35307e+10
0.275 4.44429e+10
0.325 4.53309e+10
0.375 4.61977e+10
0.425 4.70461e+10
0.475 4.78779e+10
0.525 4.86948e+10
0.575 4.94982e+10
0.625 5.02893e+10
0.675 5.10689e+10
0.725 5.1838e+10
0.775 5.25972e+10
0.825 5.33471e+10
0.875 5.40883e+10
0.925 5.48211e+10
0.975 5.55461e+10
1.025 5.62635e+10
1.075 5.69736e+10
1.125 5.76767e+10
1.175 5.83731e+10
1.225 5.90629e+10
1.275 5.97463e+10
1.325 6.04236e+10
1.375 6.10949e+10
1.425 6.17602e+10
1.475 6.24198e+10
1.525 6.30738e+10
1.575 6.37221e+10
1.625 6.4365e+10
1.675 6.50025e+10
1.725 6.56347e+10
1.775 6.62617e+10
1.825 6.68835e+10
1.875 6.75001e+10
1.925 6.81117e+10
1.975 6.87183e+10
2.025 6.932e+10
2.075 6.99168e+10
2.125 7.05086e+10
2.175 7.10957e+10
2.225 7.1678e+10
2.275 7.22555e+10
2.325 7.28283e+10
2.375 7.33964e+10
2.425 7.39599e+10
2.475 7.45188e+10
2.525 7.50731e+10
2.575 7.56229e+10
2.625 7.61681e+10
2.675 7.67089e+10
2.725 7.72452e+10
2.775 7.77771e+10
2.825 7.83046e+10
2.875 7.88278e+10
2.925 7.93467e+10
2.975 7.98612e+10
3.025 8.03715e+10
3.075 8.08776e+10
3.125 8.13794e+10
3.175 8.18772e+10
3.225 8.23708e+10
3.275 8.28603e+10
3.325 8.33458e+10
3.375 8.38273e+10
3.425 8.43049e+10
3.475 8.47785e+10
3.525 8.52482e+10
3.575 8.57142e+10
3.625 8.61763e+10
3.675 8.66347e+10
3.72501 8.70895e+10
3.77501 8.75406e+10
3.82501 8.79881e+10
3.87501 8.84321e+10
3.92501 8.88727e+10
3.97501 8.93098e+10
4.02501 8.97436e+10
4.07501 9.01742e+10
4.12501 9.06015e+10
4.17501 9.10257e+10
4.22501 9.14467e+10
4.27501 9.18648e+10
4.32501 9.22799e+10
4.37501 9.26922e+10
4.42501 9.31016e+10
4.47501 9.35083e+10
4.52501 9.39124e+10
4.57501 9.43138e+10
4.62501 9.47127e+10
4.67501 9.51092e+10
4.72501 9.55034e+10
4.77501 9.58952e+10
4.82501 9.62847e+10
4.87501 9.66719e+10
4.92501 9.70571e+10
4.97501 9.74401e+10
5.02501 9.78209e+10
5.07501 9.81996e+10
5.12501 9.85763e+10
5.17501 9.89506e+10
5.22501 9.93227e+10
5.27501 9.96924e+10
5.32501 1.0006e+11
5.37501 1.00424e+11
5.42501 1.00785e+11
5.47501 1.01143e+11
5.52501 1.01496e+11
5.57501 1.01844e+11
5.62501 1.02187e+11
5.67501 1.02522e+11
5.72501 1.02849e+11
5.77501 1.03164e+11
5.82501 1.03464e+11
5.87501 1.03745e+11
5.92501 1.04e+11
5.97501 1.04218e+11
6.00751 1.0404e+11
6.02251 1.03586e+11
6.03751 1.03289e+11
6.05252 1.03092e+11
6.06752 1.02964e+11
6.08252 1.02888e+11
6.09752 1.02851e+11
6.11252 1.02847e+11
6.12752 1.02868e+11
6.14252 1.0291e+11
6.15752 1.02969e+11
6.17252 1.03044e+11
