Transport code output file.

Total source generations: 31
Right leakage: 1.04806e+10 neutrons, 0.262018%
Left leakage : 1.27848e+10 neutrons, 0.319622%

_____Total Flux_____
dist | flux
0.025 3.75995e+10
0.075 3.83127e+10
0.125 3.89993e+10
0.175 3.96637e+10
0.225 4.03091e+10
0.275 4.09381e+10
0.325 4.15528e+10
0.375 4.21551e+10
0.425 4.27465e+10
0.475 4.33283e+10
0.525 4.39018e+10
0.575 4.44678e+10
0.625 4.50273e+10
0.675 4.5581e+10
0.725 4.61295e+10
0.775 4.66735e+10
0.825 4.72135e+10
0.875 4.77499e+10
0.925 4.82832e+10
0.975 4.88137e+10
1.025 4.93418e+10
1.075 4.98677e+10
1.125 5.03918e+10
1.175 5.09142e+10
1.225 5.14353e+10
1.275 5.19552e+10
1.325 5.24741e+10
1.375 5.29922e+10
1.425 5.35097e+10
1.475 5.40266e+10
1.525 5.45433e+10
1.575 5.50598e+10
1.625 5.55762e+10
1.675 5.60926e+10
1.725 5.66093e+10
1.775 5.71262e+10
1.825 5.76435e+10
1.875 5.81614e+10
1.925 5.86798e+10
1.975 5.9199e+10
2.025 5.9719e+10
2.075 6.02398e+10
2.125 6.07616e+10
2.175 6.12846e+10
2.225 6.18087e+10
2.275 6.2334e+10
2.325 6.28607e+10
2.375 6.33888e+10
2.425 6.39184e+10
2.475 6.44496e+10
2.525 6.49825e+10
2.575 6.55172e+10
2.625 6.60537e+10
2.675 6.65922e+10
2.725 6.71326e+10
2.775 6.76752e+10
2.825 6.822e+10
2.875 6.8767e+10
2.925 6.93164e+10
2.975 6.98683e+10
3.025 7.04227e+10
3.075 7.09798e+10
3.125 7.15396e+10
3.175 7.21021e+10
3.225 7.26677e+10
3.275 7.32362e+10
3.325 7.38079e+10
3.375 7.43827e+10
3.425 7.4961e+10
3.475 7.55426e+10
3.525 7.61277e+10
3.575 7.67165e+10
3.625 7.73091e+10
3.675 7.79055e+10
3.72501 7.85058e+10
3.77501 7.91103e+10
3.82501 7.9719e+10
3.87501 8.03321e+10
3.92501 8.09496e+10
3.97501 8.15717e+10
4.02501 8.21986e+10
4.07501 8.28303e+10
4.12501 8.34671e+10
4.17501 8.41091e+10
4.22501 8.47563e+10
4.27501 8.5409e+10
4.32501 8.60673e+10
4.37501 8.67314e+10
4.42501 8.74015e+10
4.47501 8.80776e+10
4.52501 8.87601e+10
4.57501 8.94489e+10
4.62501 9.01445e+10
4.67501 9.08468e+10
4.72501 9.15562e+10
4.77501 9.22727e+10
4.82501 9.29967e+10
4.87501 9.37283e+10
4.92501 9.44677e+10
4.97501 9.52152e+10
5.02501 9.5971e+10
5.07501 9.67352e+10
5.12501 9.75082e+10
5.17501 9.82902e+10
5.22501 9.90813e+10
5.27501 9.98821e+10
5.32501 1.00692e+11
5.37501 1.01513e+11
5.42501 1.02343e+11
5.47501 1.03185e+11
5.52501 1.04037e+11
5.57501 1.049e+11
5.62501 1.05774e+11
5.67501 1.06661e+11
5.72501 1.07559e+11
5.77501 1.0847e+11
5.82501 1.09393e+11
5.87501 1.1033e+11
5.92501 1.1128e+11
5.97501 1.12243e+11
6.00751 1.12875e+11
6.02251 1.13166e+11
6.03751 1.13455e+11
6.05252 1.13742e+11
6.06752 1.14028e+11
6.08252 1.14311e+11
6.09752 1.14592e+11
6.11252 1.14871e+11
6.12752 1.15149e+11
6.14252 1.15424e+11
6.15752 1.15697e+11
6.17252 1.15969e+11
6.18752 1.16238e+11
6.20252 1.16506e+11
6.21752 1.16772e+11
6.23252 1.17035e+11
6.24752 1.17297e+11
6.26252 1.17557e+11
6.27752 1.17815e+11
6.29252 1.18071e+11
6.30752 1.18326e+11
6.32252 1.18578e+11
6.33752 1.18829e+11
6.35252 1.19078e+11
6.36752 1.19325e+11
6.38252 1.1957e+11
6.39752 1.19813e+11
6.41252 1.20055e+11
6.42752 1.20295e+11
6.44252 1.20533e+11
6.45752 1.20769e+11
6.47252 1.21004e+11
6.48752 1.21236e+11
6.50253 1.21467e+11
6.51753 1.21696e+11
6.53253 1.21924e+11
6.54753 1.22149e+11
6.56253 1.22373e+11
6.57753 1.22596e+11
6.59253 1.22816e+11
6.60753 1.23035e+11
6.62253 1.23252e+11
6.63753 1.23468e+11
6.65253 1.23682e+11
6.66753 1.23894e+11
6.68253 1.24104e+11
6.69753 1.24313e+11
6.71253 1.2452e+11
6.72753 1.24726e+11
6.74253 1.2493e+11
6.75753 1.25132e+11
6.77253 1.25332e+11
6.78753 1.25531e+11
6.80253 1.25729e+11
6.81753 1.25925e+11
6.83253 1.26119e+11
6.84753 1.26311e+11
6.86253 1.26502e+11
6.87753 1.26692e+11
6.89253 1.2688e+11
6.90753 1.27066e+11
6.92253 1.27251e+11
6.93754 1.27434e+11
6.95254 1.27615e+11
