Transport code output file.

Total source generations: 65
Right leakage: 1.3049e+10 neutrons, 0.327047%
Left leakage : 1.3049e+10 neutrons, 0.327047%

_____Total Flux_____
dist | flux
0.025 3.93539e+10
0.075 4.02686e+10
0.125 4.11432e+10
0.175 4.19849e+10
0.225 4.2799e+10
0.275 4.35895e+10
0.325 4.43594e+10
0.375 4.51113e+10
0.425 4.58472e+10
0.475 4.65688e+10
0.525 4.72774e+10
0.575 4.79742e+10
0.625 4.86603e+10
0.675 4.93365e+10
0.725 5.00036e+10
0.775 5.06622e+10
0.825 5.13128e+10
0.875 5.19561e+10
0.925 5.25923e+10
0.975 5.3222e+10
1.025 5.38455e+10
1.075 5.44631e+10
1.125 5.5075e+10
1.175 5.56815e+10
1.225 5.6283e+10
1.275 5.68795e+10
1.325 5.74712e+10
1.375 5.80584e+10
1.425 5.86412e+10
1.475 5.92198e+10
1.525 5.97943e+10
1.575 6.03649e+10
1.625 6.09317e+10
1.675 6.14947e+10
1.725 6.20543e+10
1.775 6.26103e+10
1.825 6.31631e+10
1.875 6.37126e+10
1.925 6.4259e+10
1.975 6.48023e+10
2.025 6.53428e+10
2.075 6.58805e+10
2.125 6.64154e+10
2.175 6.69477e+10
2.225 6.74775e+10
2.275 6.80049e+10
2.325 6.85299e+10
2.375 6.90528e+10
2.425 6.95735e+10
2.475 7.00921e+10
2.525 7.06089e+10
2.575 7.11237e+10
2.625 7.16368e+10
2.675 7.21483e+10
2.725 7.26581e+10
2.775 7.31665e+10
2.825 7.36735e+10
2.875 7.41791e+10
2.925 7.46834e+10
2.975 7.51866e+10
3.025 7.56885e+10
3.075 7.61894e+10
3.125 7.66892e+10
3.175 7.71879e+10
3.225 7.76855e+10
3.275 7.81819e+10
3.325 7.86771e+10
3.375 7.9171e+10
3.425 7.96633e+10
3.475 8.01539e+10
3.525 8.06423e+10
3.575 8.11282e+10
3.625 8.16109e+10
3.675 8.20897e+10
3.72501 8.25634e+10
3.77501 8.30307e+10
3.82501 8.34895e+10
3.87501 8.39373e+10
3.92501 8.43702e+10
3.97501 8.47826e+10
4.00751 8.48861e+10
4.02251 8.47433e+10
4.03751 8.46816e+10
4.05251 8.4671e+10
4.06751 8.46961e+10
4.08251 8.47476e+10
4.09751 8.48191e+10
4.11251 8.49064e+10
4.12751 8.50064e+10
4.14251 8.51166e+10
4.15751 8.52351e+10
4.17251 8.53606e+10
4.18751 8.54917e+10
4.20251 8.56276e+10
4.21751 8.57674e+10
4.23251 8.59104e+10
4.24751 8.6056e+10
4.26251 8.62038e+10
4.27751 8.63533e+10
4.29251 8.65041e+10
4.30751 8.66559e+10
4.32251 8.68084e+10
4.33751 8.69613e+10
4.35251 8.71145e+10
4.36751 8.72677e+10
4.38251 8.74207e+10
4.39752 8.75735e+10
4.41252 8.77258e+10
4.42752 8.78776e+10
4.44252 8.80287e+10
4.45752 8.8179e+10
4.47252 8.83285e+10
4.48752 8.8477e+10
4.50252 8.86245e+10
4.51752 8.8771e+10
4.53252 8.89163e+10
4.54752 8.90604e+10
4.56252 8.92034e+10
4.57752 8.9345e+10
4.59252 8.94853e+10
4.60752 8.96243e+10
