Transport code output file.

Total source generations: 46
Right leakage: 9.3563e+09 neutrons, 0.234496%
Left leakage : 9.3563e+09 neutrons, 0.234496%

_____Total Flux_____
dist | flux
7.62006 6.78675e+10
7.67006 6.79528e+10
7.72006 6.80359e+10
7.77006 6.81169e+10
7.82006 6.81958e+10
7.87006 6.82725e+10
7.92006 6.83472e+10
7.97006 6.84196e+10
8.02006 6.84899e+10
8.07006 6.85581e+10
8.12006 6.86241e+10
8.17006 6.86879e+10
8.22006 6.87495e+10
8.27006 6.8809e+10
8.32006 6.88662e+10
8.37005 6.89212e+10
8.42005 6.89739e+10
8.47005 6.90244e+10
8.52005 6.90727e+10
8.57005 6.91186e+10
8.62005 6.91623e+10
8.67005 6.92036e+10
8.72005 6.92426e+10
8.77005 6.92792e+10
8.82005 6.93134e+10
8.87005 6.93452e+10
8.92005 6.93746e+10
8.97005 6.94015e+10
9.00254 6.93809e+10
9.01754 6.93199e+10
9.03254 6.92696e+10
9.04754 6.9228e+10
9.06254 6.91935e+10
9.07754 6.9165e+10
9.09254 6.91416e+10
9.10754 6.91224e+10
9.12254 6.91068e+10
9.13754 6.90943e+10
9.15254 6.90845e+10
9.16754 6.90771e+10
9.18254 6.90716e+10
9.19754 6.90678e+10
9.21254 6.90655e+10
9.22754 6.90645e+10
9.24253 6.90646e+10
9.25753 6.90657e+10
9.27253 6.90676e+10
9.28753 6.90702e+10
9.30253 6.90734e+10
9.31753 6.90771e+10
9.33253 6.90813e+10
9.34753 6.90859e+10
9.36253 6.90908e+10
9.37753 6.90959e+10
9.39253 6.91012e+10
9.40753 6.91067e+10
9.42253 6.91124e+10
9.43753 6.91181e+10
9.45253 6.91239e+10
9.46753 6.91297e+10
9.48252 6.91356e+10
9.49752 6.91414e+10
9.51252 6.91472e+10
9.52752 6.9153e+10
9.54252 6.91586e+10
9.55752 6.91642e+10
9.57252 6.91697e+10
9.58752 6.91751e+10
9.60252 6.91804e+10
9.61752 6.91855e+10
9.63252 6.91905e+10
9.64752 6.91953e+10
9.66252 6.92e+10
9.67752 6.92045e+10
9.69252 6.92088e+10
9.70752 6.9213e+10
9.72252 6.92169e+10
9.73751 6.92207e+10
9.75251 6.92243e+10
9.76751 6.92277e+10
9.78251 6.92308e+10
9.79751 6.92338e+10
9.81251 6.92366e+10
9.82751 6.92391e+10
9.84251 6.92415e+10
9.85751 6.92436e+10
9.87251 6.92455e+10
9.88751 6.92472e+10
9.90251 6.92487e+10
9.91751 6.92499e+10
9.93251 6.92509e+10
9.94751 6.92517e+10
9.96251 6.92523e+10
9.9775 6.92526e+10
9.9925 6.92527e+10
10.0075 6.92526e+10
10.0225 6.92523e+10
10.0375 6.92517e+10
10.0525 6.92509e+10
10.0675 6.92499e+10
10.0825 6.92487e+10
10.0975 6.92472e+10
10.1125 6.92455e+10
10.1275 6.92436e+10
10.1425 6.92415e+10
10.1575 6.92391e+10
10.1725 6.92366e+10
10.1875 6.92338e+10
10.2025 6.92309e+10
10.2175 6.92277e+10
10.2325 6.92243e+10
10.2475 6.92207e+10
10.2625 6.92169e+10
10.2775 6.9213e+10
10.2925 6.92088e+10
10.3075 6.92045e+10
10.3225 6.92e+10
10.3375 6.91953e+10
10.3525 6.91905e+10
10.3675 6.91855e+10
10.3825 6.91804e+10
10.3975 6.91751e+10
10.4125 6.91697e+10
10.4275 6.91642e+10
10.4425 6.91586e+10
10.4575 6.9153e+10
10.4725 6.91472e+10
10.4875 6.91414e+10
10.5025 6.91356e+10
10.5175 6.91298e+10
10.5325 6.91239e+10
10.5475 6.91181e+10
10.5625 6.91124e+10
10.5775 6.91067e+10
10.5925 6.91012e+10
10.6075 6.90959e+10
10.6225 6.90908e+10
10.6375 6.90859e+10
10.6525 6.90813e+10
10.6675 6.90771e+10
10.6825 6.90734e+10
10.6975 6.90702e+10
10.7125 6.90676e+10
10.7275 6.90657e+10
10.7425 6.90646e+10
10.7575 6.90645e+10
10.7725 6.90655e+10
10.7875 6.90678e+10
10.8025 6.90716e+10
10.8175 6.90771e+10
10.8325 6.90845e+10
10.8475 6.90943e+10
10.8625 6.91068e+10
10.8775 6.91224e+10
10.8925 6.91416e+10
10.9075 6.9165e+10
10.9225 6.91935e+10
10.9375 6.9228e+10
10.9525 6.92696e+10
10.9675 6.93199e+10
10.9825 6.93809e+10
11.015 6.94015e+10
11.065 6.93746e+10
11.115 6.93452e+10
11.165 6.93134e+10
11.215 6.92792e+10
11.265 6.92426e+10
11.315 6.92036e+10
11.365 6.91623e+10
11.415 6.91186e+10
11.465 6.90727e+10
11.515 6.90244e+10
11.565 6.89739e+10
11.615 6.89212e+10
11.665 6.88662e+10
11.715 6.8809e+10
11.765 6.87495e+10
11.815 6.86879e+10
11.865 6.86241e+10
11.9149 6.85581e+10
11.9649 6.84899e+10
12.0149 6.84196e+10
12.0649 6.83472e+10
12.1149 6.82725e+10
12.1649 6.81958e+10
12.2149 6.81169e+10
12.2649 6.80359e+10
12.3149 6.79528e+10
12.3649 6.78675e+10
12.4149 6.77802e+10
12.4649 6.76907e+10
12.5149 6.75992e+10
12.5649 6.75055e+10
12.6149 6.74098e+10
12.6649 6.73119e+10
12.7149 6.7212e+10
12.7649 6.71099e+10
12.8149 6.70058e+10
12.8649 6.68996e+10
12.9149 6.67912e+10
12.9649 6.66808e+10
13.0149 6.65682e+10
13.0649 6.64536e+10
13.1149 6.63368e+10
13.1649 6.6218e+10
13.2149 6.6097e+10
13.2649 6.59739e+10
13.3149 6.58486e+10
13.3649 6.57212e+10
13.4149 6.55917e+10
13.4649 6.546e+10
13.5149 6.53262e+10
13.5649 6.51901e+10
13.6149 6.50519e+10
13.6649 6.49115e+10
13.7149 6.47688e+10
13.7649 6.46239e+10
13.8149 6.44767e+10
13.8649 6.43273e+10
13.9149 6.41756e+10
13.9649 6.40215e+10
13.9974 6.38811e+10
14.0124 6.37613e+10
14.0274 6.3652e+10
14.0424 6.35514e+10
14.0574 6.34578e+10
14.0724 6.33701e+10
14.0874 6.32874e+10
14.1024 6.3209e+10
14.1174 6.31341e+10
14.1324 6.30622e+10
14.1474 6.2993e+10
14.1624 6.29261e+10
14.1774 6.28611e+10
14.1924 6.27979e+10
14.2074 6.2736e+10
14.2224 6.26755e+10
14.2374 6.2616e+10
14.2524 6.25575e+10
14.2674 6.24997e+10
14.2824 6.24426e+10
14.2974 6.23862e+10
14.3124 6.23302e+10
14.3274 6.22747e+10
14.3424 6.22194e+10
14.3574 6.21645e+10
14.3724 6.21099e+10
14.3874 6.20554e+10
14.4024 6.2001e+10
14.4174 6.19468e+10
14.4324 6.18926e+10
14.4474 6.18385e+10
14.4624 6.17843e+10
14.4774 6.17302e+10
14.4924 6.1676e+10
14.5074 6.16218e+10
14.5224 6.15674e+10
14.5374 6.1513e+10
14.5524 6.14585e+10
14.5674 6.14038e+10
14.5824 6.1349e+10
14.5974 6.1294e+10
14.6124 6.12389e+10
14.6274 6.11836e+10
14.6424 6.11281e+10
14.6574 6.10725e+10
14.6724 6.10166e+10
14.6874 6.09605e+10
14.7024 6.09042e+10
14.7174 6.08477e+10
14.7324 6.0791e+10
14.7474 6.0734e+10
14.7624 6.06768e+10
14.7774 6.06194e+10
14.7924 6.05617e+10
14.8074 6.05037e+10
14.8224 6.04456e+10
14.8374 6.03871e+10
14.8524 6.03284e+10
14.8674 6.02695e+10
14.8824 6.02102e+10
14.8974 6.01508e+10
14.9124 6.0091e+10
14.9274 6.0031e+10
14.9424 5.99707e+10
14.9574 5.99101e+10
14.9724 5.98492e+10
14.9874 5.97881e+10
15.0024 5.97267e+10
15.0174 5.9665e+10
15.0324 5.96031e+10
15.0474 5.95408e+10
15.0624 5.94783e+10
15.0774 5.94155e+10
15.0924 5.93524e+10
15.1074 5.92891e+10
15.1224 5.92254e+10
15.1374 5.91615e+10
15.1524 5.90973e+10
15.1674 5.90328e+10
15.1824 5.8968e+10
15.1974 5.8903e+10
15.2124 5.88377e+10
15.2274 5.87721e+10
15.2424 5.87063e+10
15.2574 5.86401e+10
15.2724 5.85737e+10
15.2874 5.85071e+10
15.3024 5.84402e+10
15.3174 5.8373e+10
15.3324 5.83056e+10
15.3474 5.82379e+10
15.3624 5.817e+10
15.3774 5.81018e+10
15.3924 5.80334e+10
15.4074 5.79648e+10
15.4224 5.78959e+10
15.4374 5.78269e+10
15.4524 5.77576e+10
15.4674 5.76882e+10
15.4824 5.76186e+10
15.4974 5.75488e+10
15.5124 5.74789e+10
15.5274 5.74088e+10
15.5424 5.73386e+10
15.5574 5.72683e+10
15.5724 5.7198e+10
15.5874 5.71275e+10
15.6024 5.70571e+10
15.6174 5.69866e+10
15.6324 5.69162e+10
15.6474 5.68459e+10
15.6623 5.67757e+10
15.6773 5.67057e+10
15.6923 5.66359e+10
15.7073 5.65664e+10
15.7223 5.64972e+10
15.7373 5.64285e+10
15.7523 5.63604e+10
15.7673 5.62929e+10
15.7823 5.62262e+10
15.7973 5.61604e+10
15.8123 5.60958e+10
15.8273 5.60324e+10
15.8423 5.59706e+10
15.8573 5.59106e+10
15.8723 5.58527e+10
15.8873 5.57973e+10
15.9023 5.5745e+10
15.9173 5.56961e+10
15.9323 5.56516e+10
15.9473 5.56122e+10
15.9623 5.55792e+10
15.9773 5.55539e+10
16.0098 5.54277e+10
16.0598 5.51953e+10
16.1098 5.4961e+10
16.1598 5.47248e+10
16.2098 5.44868e+10
16.2598 5.4247e+10
16.3098 5.40053e+10
16.3598 5.3762e+10
16.4098 5.35168e+10
16.4598 5.327e+10
16.5098 5.30214e+10
16.5598 5.27712e+10
16.6098 5.25193e+10
16.6598 5.22658e+10
16.7098 5.20106e+10
16.7598 5.17539e+10
16.8098 5.14955e+10
16.8598 5.12356e+10
16.9098 5.09741e+10
16.9598 5.07111e+10
17.0098 5.04466e+10
17.0598 5.01805e+10
17.1098 4.99129e+10
17.1598 4.96439e+10
17.2098 4.93734e+10
17.2598 4.91014e+10
17.3098 4.8828e+10
17.3598 4.85531e+10
17.4098 4.82769e+10
17.4598 4.79992e+10
17.5098 4.77201e+10
17.5598 4.74396e+10
17.6098 4.71578e+10
17.6598 4.68746e+10
17.7098 4.65901e+10
17.7598 4.63042e+10
17.8098 4.60169e+10
17.8598 4.57283e+10
17.9098 4.54385e+10
17.9598 4.51473e+10
18.0098 4.48548e+10
18.0598 4.4561e+10
18.1098 4.42659e+10
18.1598 4.39695e+10
18.2098 4.36719e+10
18.2598 4.3373e+10
18.3098 4.30729e+10
18.3598 4.27715e+10
18.4098 4.24689e+10
18.4598 4.2165e+10
18.5098 4.18599e+10
18.5598 4.15535e+10
18.6098 4.1246e+10
18.6598 4.09372e+10
18.7098 4.06272e+10
18.7598 4.0316e+10
18.8098 4.00036e+10
18.8598 3.969e+10
18.9098 3.93751e+10
18.9598 3.90591e+10
19.0098 3.87419e+10
19.0598 3.84235e+10
19.1098 3.81039e+10
19.1598 3.77831e+10
19.2098 3.74611e+10
19.2598 3.71379e+10
19.3098 3.68135e+10
19.3598 3.64879e+10
19.4098 3.61611e+10
19.4598 3.58331e+10
19.5098 3.55039e+10
19.5598 3.51735e+10
19.6098 3.48419e+10
19.6598 3.45091e+10
19.7098 3.41751e+10
19.7598 3.38398e+10
19.8098 3.35033e+10
19.8598 3.31655e+10
19.9098 3.28264e+10
19.9598 3.24861e+10

_____Absorption rate_____
dist | absorption
0.025 8.75038e+09
0.075 8.9088e+09
0.125 9.06534e+09
0.175 9.22004e+09
0.225 9.37293e+09
0.275 9.52406e+09
0.325 9.67342e+09
0.375 9.82106e+09
0.425 9.96699e+09
0.475 1.01112e+10
0.525 1.02537e+10
0.575 1.03946e+10
0.625 1.05338e+10
0.675 1.06713e+10
0.725 1.08072e+10
0.775 1.09414e+10
0.825 1.1074e+10
0.875 1.12049e+10
0.925 1.13342e+10
0.975 1.14618e+10
1.025 1.15878e+10
1.075 1.17121e+10
1.125 1.18348e+10
1.175 1.19558e+10
1.225 1.20751e+10
1.275 1.21928e+10
1.325 1.23088e+10
1.375 1.24231e+10
1.425 1.25357e+10
1.475 1.26466e+10
1.525 1.27559e+10
1.575 1.28634e+10
1.625 1.29692e+10
1.675 1.30733e+10
1.725 1.31756e+10
1.775 1.32762e+10
1.825 1.33751e+10
1.875 1.34722e+10
1.925 1.35675e+10
1.975 1.3661e+10
2.025 1.37528e+10
2.075 1.38427e+10
2.125 1.39308e+10
2.175 1.40171e+10
2.225 1.41015e+10
2.275 1.41841e+10
2.325 1.42648e+10
2.375 1.43436e+10
2.425 1.44205e+10
2.475 1.44955e+10
2.525 1.45685e+10
2.575 1.46396e+10
2.625 1.47088e+10
2.675 1.4776e+10
2.725 1.48412e+10
2.775 1.49043e+10
2.825 1.49655e+10
2.875 1.50246e+10
2.925 1.50816e+10
2.975 1.51365e+10
3.025 1.51893e+10
3.075 1.524e+10
3.125 1.52886e+10
3.175 1.5335e+10
3.225 1.53792e+10
3.275 1.54211e+10
3.325 1.54609e+10
3.375 1.54983e+10
3.425 1.55335e+10
3.475 1.55663e+10
3.525 1.55967e+10
3.575 1.56248e+10
3.625 1.56504e+10
3.675 1.56736e+10
3.72501 1.56942e+10
3.77501 1.57123e+10
3.82501 1.57278e+10
3.87501 1.57406e+10
3.92501 1.57507e+10
3.97501 1.5758e+10
4.00751 1.91427e+10
4.02251 1.87626e+10
4.03751 1.84566e+10
4.05251 1.82068e+10
4.06751 1.80006e+10
4.08251 1.78289e+10
4.09751 1.76852e+10
4.11251 1.75643e+10
4.12751 1.74622e+10
4.14251 1.7376e+10
4.15751 1.73032e+10
4.17251 1.72417e+10
4.18751 1.719e+10
4.20251 1.71465e+10
4.21751 1.71103e+10
4.23251 1.70803e+10
4.24751 1.70557e+10
4.26251 1.70359e+10
4.27751 1.70202e+10
4.29251 1.70081e+10
4.30751 1.69992e+10
4.32251 1.69931e+10
4.33751 1.69896e+10
4.35251 1.69882e+10
4.36751 1.69888e+10
4.38251 1.69912e+10
4.39752 1.69951e+10
4.41252 1.70004e+10
4.42752 1.7007e+10
4.44252 1.70148e+10
4.45752 1.70236e+10
4.47252 1.70333e+10
4.48752 1.70439e+10
4.50252 1.70552e+10
4.51752 1.70673e+10
4.53252 1.708e+10
4.54752 1.70933e+10
4.56252 1.71072e+10
4.57752 1.71215e+10
4.59252 1.71364e+10
4.60752 1.71516e+10
4.62252 1.71673e+10
4.63752 1.71833e+10
4.65252 1.71998e+10
4.66752 1.72165e+10
4.68252 1.72335e+10
4.69752 1.72509e+10
4.71252 1.72685e+10
4.72752 1.72864e+10
4.74252 1.73046e+10
4.75752 1.7323e+10
4.77252 1.73416e+10
4.78752 1.73605e+10
4.80252 1.73795e+10
4.81752 1.73988e+10
4.83253 1.74183e+10
4.84753 1.7438e+10
4.86253 1.74579e+10
4.87753 1.7478e+10
4.89253 1.74983e+10
4.90753 1.75187e+10
4.92253 1.75394e+10
4.93753 1.75602e+10
4.95253 1.75812e+10
4.96753 1.76024e+10
4.98253 1.76238e+10
4.99753 1.76454e+10
5.01253 1.76672e+10
5.02753 1.76891e+10
5.04253 1.77113e+10
5.05753 1.77336e+10
5.07253 1.77562e+10
5.08753 1.77789e+10
5.10253 1.78019e+10
5.11753 1.78251e+10
5.13253 1.78485e+10
5.14753 1.78721e+10
5.16253 1.78959e+10
5.17753 1.79201e+10
5.19253 1.79444e+10
5.20753 1.79691e+10
5.22253 1.7994e+10
5.23753 1.80192e+10
5.25253 1.80447e+10
5.26754 1.80705e+10
5.28254 1.80967e+10
5.29754 1.81232e+10
5.31254 1.81501e+10
5.32754 1.81775e+10
5.34254 1.82052e+10
5.35754 1.82334e+10
5.37254 1.82621e+10
5.38754 1.82914e+10
5.40254 1.83212e+10
5.41754 1.83516e+10
5.43254 1.83826e+10
5.44754 1.84144e+10
5.46254 1.8447e+10
5.47754 1.84804e+10
5.49254 1.85147e+10
5.50754 1.855e+10
5.52254 1.85864e+10
5.53754 1.86239e+10
5.55254 1.86628e+10
5.56754 1.87032e+10
5.58254 1.87451e+10
