Transport code output file.

Total source generations: 31
Right leakage: 1.16849e+10 neutrons, 0.292858%
Left leakage : 1.4315e+10 neutrons, 0.358775%

_____Total Flux_____
dist | flux
0.025 4.85179e+10
0.075 4.95317e+10
0.125 5.05224e+10
0.175 5.14944e+10
0.225 5.24511e+10
0.275 5.33952e+10
0.325 5.43294e+10
0.375 5.52554e+10
0.425 5.61752e+10
0.475 5.70904e+10
0.525 5.80023e+10
0.575 5.89121e+10
0.625 5.98211e+10
0.675 6.07303e+10
0.725 6.16405e+10
0.775 6.25526e+10
0.825 6.34675e+10
0.875 6.43859e+10
0.925 6.53084e+10
0.975 6.62357e+10
1.0075 6.68399e+10
1.0225 6.71168e+10
1.0375 6.7391e+10
1.0525 6.76625e+10
1.0675 6.79312e+10
1.0825 6.81971e+10
1.0975 6.84603e+10
1.1125 6.87208e+10
1.1275 6.89785e+10
1.1425 6.92337e+10
1.1575 6.94861e+10
1.1725 6.97358e+10
1.1875 6.9983e+10
1.2025 7.02274e+10
1.2175 7.04693e+10
1.2325 7.07085e+10
1.2475 7.09451e+10
1.2625 7.11792e+10
1.2775 7.14107e+10
1.2925 7.16395e+10
1.3075 7.18658e+10
1.3225 7.20896e+10
1.3375 7.23109e+10
1.3525 7.25296e+10
1.3675 7.27457e+10
1.3825 7.29595e+10
1.3975 7.31706e+10
1.4125 7.33793e+10
1.4275 7.35855e+10
1.4425 7.37892e+10
1.4575 7.39904e+10
1.4725 7.41892e+10
1.4875 7.43856e+10
1.5025 7.45795e+10
1.5175 7.4771e+10
1.5325 7.496e+10
1.5475 7.51466e+10
1.5625 7.53308e+10
1.5775 7.55125e+10
1.5925 7.56919e+10
1.6075 7.58689e+10
1.6225 7.60435e+10
1.6375 7.62157e+10
1.6525 7.63855e+10
1.6675 7.6553e+10
1.6825 7.67181e+10
1.6975 7.68808e+10
1.7125 7.70413e+10
1.7275 7.71993e+10
1.7425 7.7355e+10
1.7575 7.75084e+10
1.7725 7.76594e+10
1.78751 7.78081e+10
1.80251 7.79545e+10
1.81751 7.80985e+10
1.83251 7.82403e+10
1.84751 7.83798e+10
1.86251 7.85168e+10
1.87751 7.86517e+10
1.89251 7.87842e+10
1.90751 7.89145e+10
1.92251 7.90424e+10
1.93751 7.9168e+10
1.95251 7.92914e+10
1.96751 7.94125e+10
1.98251 7.95313e+10
1.99751 7.96478e+10
2.01251 7.97621e+10
2.02751 7.98741e+10
2.04251 7.99838e+10
2.05751 8.00913e+10
2.07251 8.01964e+10
2.08751 8.02993e+10
2.10251 8.04e+10
2.11751 8.04984e+10
2.13251 8.05946e+10
2.14751 8.06884e+10
2.16251 8.07801e+10
2.17751 8.08695e+10
2.1925 8.09566e+10
2.2075 8.10415e+10
2.2225 8.11241e+10
2.2375 8.12046e+10
2.2525 8.12827e+10
2.2675 8.13586e+10
2.2825 8.14322e+10
2.2975 8.15037e+10
2.3125 8.15729e+10
2.3275 8.16398e+10
2.3425 8.17044e+10
2.3575 8.17669e+10
2.3725 8.18271e+10
2.3875 8.1885e+10
2.4025 8.19407e+10
2.4175 8.19942e+10
2.4325 8.20454e+10
2.4475 8.20943e+10
2.4625 8.21411e+10
2.4775 8.21856e+10
2.4925 8.22278e+10
2.5075 8.22677e+10
2.5225 8.23055e+10
2.5375 8.23409e+10
2.5525 8.23741e+10
2.5675 8.24051e+10
2.5825 8.24338e+10
2.5975 8.24602e+10
2.6125 8.24844e+10
2.6275 8.25063e+10
2.6425 8.2526e+10
2.6575 8.25434e+10
