Transport code output file.

Total source generations: 83
Right leakage: 1.02702e+10 neutrons, 0.257402%
Left leakage : 1.54761e+10 neutrons, 0.387877%

_____Total Flux_____
dist | flux
0.0075 5.6365e+10
0.0225 5.67479e+10
0.0375 5.71252e+10
0.0525 5.7497e+10
0.0675 5.78636e+10
0.0825 5.8225e+10
0.0975 5.85815e+10
0.1125 5.89332e+10
0.1275 5.92801e+10
0.1425 5.96225e+10
0.1575 5.99603e+10
0.1725 6.02937e+10
0.1875 6.06227e+10
0.2025 6.09476e+10
0.2175 6.12682e+10
0.2325 6.15848e+10
0.2475 6.18974e+10
0.2625 6.2206e+10
0.2775 6.25107e+10
0.2925 6.28116e+10
0.3075 6.31088e+10
0.3225 6.34023e+10
0.3375 6.36921e+10
0.3525 6.39783e+10
0.3675 6.4261e+10
0.3825 6.45402e+10
0.3975 6.48159e+10
0.4125 6.50883e+10
0.4275 6.53572e+10
0.4425 6.56229e+10
0.4575 6.58853e+10
0.4725 6.61445e+10
0.4875 6.64005e+10
0.5025 6.66533e+10
0.5175 6.6903e+10
0.5325 6.71496e+10
0.5475 6.73932e+10
0.5625 6.76337e+10
0.5775 6.78712e+10
0.5925 6.81058e+10
0.6075 6.83375e+10
0.6225 6.85662e+10
0.6375 6.8792e+10
0.652499 6.90151e+10
0.667499 6.92352e+10
0.682499 6.94526e+10
0.697499 6.96672e+10
0.712499 6.9879e+10
0.727499 7.00882e+10
0.742499 7.02946e+10
0.757499 7.04983e+10
0.772499 7.06994e+10
0.787499 7.08978e+10
0.802499 7.10936e+10
0.817499 7.12868e+10
0.832499 7.14774e+10
0.847499 7.16655e+10
0.862499 7.1851e+10
0.877499 7.2034e+10
0.892499 7.22145e+10
0.907499 7.23925e+10
0.922499 7.2568e+10
0.937499 7.27411e+10
0.952499 7.29118e+10
0.967499 7.308e+10
0.982499 7.32459e+10
0.997499 7.34093e+10
1.0125 7.35704e+10
1.0275 7.37292e+10
1.0425 7.38856e+10
1.0575 7.40397e+10
1.0725 7.41915e+10
1.0875 7.43411e+10
1.1025 7.44883e+10
1.1175 7.46335e+10
1.1325 7.47763e+10
1.1475 7.49169e+10
1.1625 7.50554e+10
1.1775 7.51917e+10
1.1925 7.53258e+10
1.2075 7.54579e+10
1.2225 7.55878e+10
1.2375 7.57156e+10
1.2525 7.58414e+10
1.2675 7.59652e+10
1.2825 7.60869e+10
1.2975 7.62067e+10
1.3125 7.63245e+10
1.3275 7.64404e+10
1.3425 7.65544e+10
1.3575 7.66665e+10
1.3725 7.67768e+10
1.3875 7.68853e+10
1.4025 7.69921e+10
1.4175 7.70972e+10
1.4325 7.72006e+10
1.4475 7.73023e+10
1.4625 7.74025e+10
1.4775 7.75012e+10
1.4925 7.75984e+10
1.5075 7.76943e+10
1.5225 7.77888e+10
1.5375 7.78821e+10
1.5525 7.79743e+10
1.5675 7.80654e+10
1.5825 7.81556e+10
1.5975 7.8245e+10
1.6125 7.83336e+10
1.6275 7.84216e+10
1.6425 7.85093e+10
1.6575 7.85967e+10
1.6725 7.86841e+10
1.6875 7.87716e+10
1.7025 7.88597e+10
1.7175 7.89484e+10
1.7325 7.90382e+10
1.7475 7.91293e+10
1.7625 7.92223e+10
1.7775 7.93175e+10
1.7925 7.94156e+10
1.8075 7.95172e+10
1.8225 7.9623e+10
1.8375 7.97341e+10
1.85251 7.98515e+10
1.86751 7.99766e+10
1.88251 8.01111e+10
1.89751 8.02573e+10
1.91251 8.04181e+10
1.92751 8.05976e+10
1.94251 8.08016e+10
1.95751 8.10388e+10
1.97251 8.13234e+10
1.98751 8.16829e+10
2.02001 8.20199e+10
2.07001 8.22776e+10
2.12001 8.25181e+10
2.17001 8.27465e+10
2.22001 8.29663e+10
2.27001 8.31798e+10
2.32001 8.33887e+10
2.37001 8.35945e+10
2.42001 8.37978e+10
2.47001 8.39997e+10
2.52001 8.42005e+10
2.57001 8.44008e+10
2.62001 8.46008e+10
2.67001 8.48007e+10
2.72001 8.50008e+10
2.77001 8.52012e+10
2.82001 8.54021e+10
2.87001 8.56035e+10
2.92001 8.58054e+10
2.97001 8.60079e+10
3.02001 8.62111e+10
3.07001 8.64149e+10
3.12001 8.66193e+10
3.17001 8.68245e+10
3.22001 8.70303e+10
3.27001 8.72367e+10
3.32001 8.74438e+10
3.37001 8.76515e+10
3.42001 8.78598e+10
3.47001 8.80688e+10
3.52001 8.82784e+10
3.57001 8.84886e+10
3.62001 8.86994e+10
3.67001 8.89108e+10
3.72001 8.91227e+10
3.77001 8.93353e+10
3.82001 8.95484e+10
3.87001 8.97621e+10
3.92001 8.99763e+10
3.97001 9.0191e+10
4.02001 9.04062e+10
4.07001 9.06218e+10
4.12001 9.08378e+10
4.17001 9.10541e+10
4.22001 9.12707e+10
4.27001 9.14873e+10
4.32001 9.17039e+10
4.37002 9.19201e+10
4.42002 9.21359e+10
4.47002 9.23508e+10
4.52002 9.25645e+10
4.57002 9.27763e+10
4.62002 9.29857e+10
4.67002 9.31918e+10
4.72002 9.33934e+10
4.77002 9.3589e+10
4.82002 9.37767e+10
4.87002 9.39537e+10
4.92002 9.41162e+10
4.97002 9.42589e+10
5.00252 9.41914e+10
5.01752 9.39731e+10
5.03252 9.38314e+10
5.04752 9.37385e+10
5.06252 9.36796e+10
5.07752 9.3646e+10
5.09252 9.36318e+10
5.10752 9.36328e+10
5.12252 9.36459e+10
5.13752 9.36689e+10
5.15252 9.37e+10
5.16752 9.37379e+10
5.18252 9.37813e+10
5.19752 9.38294e+10
5.21252 9.38814e+10
5.22752 9.39365e+10
5.24252 9.39943e+10
5.25752 9.40543e+10
5.27252 9.41161e+10
5.28752 9.41791e+10
5.30252 9.42433e+10
5.31752 9.43083e+10
5.33253 9.43738e+10
5.34753 9.44396e+10
