Transport code output file.

Total source generations: 89
Right leakage: 1.19367e+10 neutrons, 0.299167%
Left leakage : 1.41889e+10 neutrons, 0.355616%

_____Total Flux_____
dist | flux
0.025 4.82265e+10
0.075 4.92075e+10
0.125 5.01647e+10
0.175 5.11013e+10
0.225 5.20201e+10
0.275 5.29234e+10
0.325 5.38135e+10
0.375 5.46919e+10
0.425 5.55603e+10
0.475 5.64199e+10
0.525 5.72719e+10
0.575 5.81172e+10
0.625 5.89565e+10
0.675 5.97906e+10
0.725 6.06198e+10
0.775 6.14444e+10
0.825 6.22646e+10
0.875 6.30802e+10
0.925 6.38911e+10
0.975 6.46965e+10
1.0075 6.521e+10
1.0225 6.54388e+10
1.0375 6.56743e+10
1.0525 6.59133e+10
1.0675 6.61543e+10
1.0825 6.63962e+10
1.0975 6.66382e+10
1.1125 6.68799e+10
1.1275 6.71208e+10
1.1425 6.73607e+10
1.1575 6.75994e+10
1.1725 6.78367e+10
1.1875 6.80724e+10
1.2025 6.83066e+10
1.2175 6.85389e+10
1.2325 6.87695e+10
1.2475 6.89983e+10
1.2625 6.92251e+10
1.2775 6.945e+10
1.2925 6.96729e+10
1.3075 6.98938e+10
1.3225 7.01126e+10
1.3375 7.03294e+10
1.3525 7.05441e+10
1.3675 7.07567e+10
1.3825 7.09672e+10
1.3975 7.11756e+10
1.4125 7.13818e+10
1.4275 7.15858e+10
1.4425 7.17878e+10
1.4575 7.19876e+10
1.4725 7.21852e+10
1.4875 7.23807e+10
1.5025 7.2574e+10
1.5175 7.27652e+10
1.5325 7.29541e+10
1.5475 7.3141e+10
1.5625 7.33256e+10
1.5775 7.35082e+10
1.5925 7.36885e+10
1.6075 7.38668e+10
1.6225 7.40428e+10
1.6375 7.42167e+10
1.6525 7.43885e+10
1.6675 7.45582e+10
1.6825 7.47257e+10
1.6975 7.4891e+10
1.7125 7.50543e+10
1.7275 7.52154e+10
1.7425 7.53745e+10
1.7575 7.55314e+10
1.7725 7.56862e+10
1.78751 7.58389e+10
1.80251 7.59896e+10
1.81751 7.61381e+10
1.83251 7.62847e+10
1.84751 7.6429e+10
1.86251 7.65714e+10
1.87751 7.67117e+10
1.89251 7.685e+10
1.90751 7.69861e+10
1.92251 7.71203e+10
1.93751 7.72525e+10
1.95251 7.73826e+10
1.96751 7.75107e+10
1.98251 7.76368e+10
1.99751 7.7761e+10
2.01251 7.78831e+10
2.02751 7.80033e+10
2.04251 7.81215e+10
2.05751 7.82377e+10
2.07251 7.83521e+10
2.08751 7.84644e+10
2.10251 7.85749e+10
2.11751 7.86834e+10
2.13251 7.879e+10
2.14751 7.88948e+10
2.16251 7.89977e+10
2.17751 7.90987e+10
2.1925 7.91979e+10
2.2075 7.92952e+10
2.2225 7.93908e+10
2.2375 7.94845e+10
2.2525 7.95765e+10
2.2675 7.96667e+10
2.2825 7.97552e+10
2.2975 7.9842e+10
2.3125 7.9927e+10
2.3275 8.00105e+10
2.3425 8.00922e+10
2.3575 8.01724e+10
2.3725 8.0251e+10
2.3875 8.0328e+10
2.4025 8.04036e+10
2.4175 8.04776e+10
2.4325 8.05503e+10
2.4475 8.06216e+10
2.4625 8.06915e+10
2.4775 8.07602e+10
2.4925 8.08277e+10
2.5075 8.0894e+10
2.5225 8.09592e+10
2.5375 8.10235e+10
2.5525 8.10869e+10
2.5675 8.11494e+10
2.5825 8.12113e+10
2.5975 8.12725e+10
2.6125 8.13333e+10
2.6275 8.13939e+10
2.6425 8.14542e+10
2.6575 8.15146e+10
2.6725 8.15753e+10
2.6875 8.16364e+10
2.7025 8.16982e+10
2.7175 8.17611e+10
2.7325 8.18253e+10
2.7475 8.18913e+10
2.7625 8.19594e+10
2.7775 8.20302e+10
2.7925 8.21043e+10
2.8075 8.21823e+10
2.8225 8.22651e+10
2.8375 8.23536e+10
2.8525 8.2449e+10
2.8675 8.25528e+10
2.8825 8.26667e+10
2.8975 8.27933e+10
2.9125 8.29355e+10
2.9275 8.30976e+10
2.9425 8.32858e+10
2.9575 8.35094e+10
2.9725 8.37831e+10
2.9875 8.41361e+10
3.02 8.44424e+10
3.07 8.46421e+10
3.12 8.48235e+10
3.17 8.49921e+10
3.22 8.51516e+10
3.27 8.53044e+10
3.32 8.54524e+10
3.37 8.5597e+10
3.42 8.57391e+10
3.47 8.58796e+10
3.52 8.60191e+10
3.57 8.61579e+10
3.62 8.62964e+10
3.67 8.6435e+10
3.72 8.65736e+10
3.77 8.67126e+10
3.82 8.68521e+10
3.87 8.6992e+10
3.92 8.71326e+10
3.97 8.72737e+10
4.02 8.74154e+10
4.07 8.75578e+10
4.12 8.77009e+10
4.17 8.78446e+10
4.22 8.79889e+10
4.27 8.81339e+10
4.32 8.82794e+10
4.37 8.84256e+10
4.42 8.85723e+10
4.47 8.87197e+10
4.52 8.88676e+10
4.57 8.90161e+10
4.62 8.9165e+10
4.67 8.93146e+10
4.72 8.94646e+10
4.77 8.96151e+10
4.82 8.97662e+10
4.87 8.99177e+10
4.92 9.00696e+10
4.97001 9.0222e+10
5.02001 9.03748e+10
5.07001 9.05279e+10
5.12001 9.06813e+10
5.17001 9.08348e+10
5.22001 9.09885e+10
5.27001 9.11421e+10
5.32001 9.12956e+10
5.37001 9.14487e+10
5.42001 9.16011e+10
5.47001 9.17525e+10
5.52001 9.19024e+10
5.57001 9.20504e+10
5.62001 9.21957e+10
5.67001 9.23375e+10
5.72001 9.24745e+10
5.77001 9.26052e+10
5.82001 9.27275e+10
5.87001 9.28387e+10
5.92001 9.29348e+10
5.97001 9.30101e+10
6.00251 9.28893e+10
6.01751 9.26347e+10
6.03251 9.24608e+10
6.04751 9.23379e+10
6.06251 9.22511e+10
6.07751 9.21909e+10
6.09251 9.21511e+10
6.10751 9.21273e+10
6.12251 9.21164e+10
6.13751 9.2116e+10
6.15251 9.21242e+10
6.16751 9.21395e+10
6.18251 9.21609e+10
6.19751 9.21872e+10
6.21251 9.22178e+10
6.22751 9.22517e+10
6.24251 9.22886e+10
6.25751 9.23278e+10
6.27252 9.2369e+10
6.28752 9.24117e+10
6.30252 9.24557e+10
6.31752 9.25006e+10
6.33252 9.25461e+10
6.34752 9.25921e+10
6.36252 9.26384e+10
6.37752 9.26847e+10
6.39252 9.2731e+10
6.40752 9.2777e+10
6.42252 9.28226e+10
6.43752 9.28678e+10
6.45252 9.29124e+10
6.46752 9.29563e+10
6.48252 9.29994e+10
6.49752 9.30417e+10
6.51252 9.30832e+10
6.52752 9.31236e+10
6.54252 9.31631e+10
6.55752 9.32014e+10
6.57252 9.32386e+10
6.58752 9.32748e+10
6.60252 9.33097e+10
6.61752 9.33433e+10
6.63252 9.33758e+10
6.64752 9.34069e+10
6.66252 9.34367e+10
6.67752 9.34652e+10
6.69252 9.34923e+10
6.70753 9.3518e+10
6.72253 9.35424e+10
6.73753 9.35653e+10
6.75253 9.35868e+10
6.76753 9.3607e+10
6.78253 9.36256e+10
6.79753 9.36428e+10
6.81253 9.36585e+10
6.82753 9.36727e+10
6.84253 9.36855e+10
6.85753 9.36969e+10
6.87253 9.37067e+10
6.88753 9.3715e+10
6.90253 9.37219e+10
6.91753 9.37273e+10
6.93253 9.37312e+10
6.94753 9.37336e+10
6.96253 9.37345e+10
6.97753 9.37339e+10
6.99253 9.37319e+10
7.00753 9.37284e+10
7.02253 9.37235e+10
7.03753 9.3717e+10
7.05253 9.37091e+10
7.06753 9.36998e+10
7.08253 9.3689e+10
7.09753 9.36769e+10
7.11253 9.36634e+10
7.12753 9.36484e+10
7.14254 9.3632e+10
7.15754 9.36143e+10
7.17254 9.35953e+10
7.18754 9.3575e+10
7.20254 9.35533e+10
7.21754 9.35304e+10
7.23254 9.35062e+10
7.24754 9.34808e+10
7.26254 9.34542e+10
7.27754 9.34265e+10
7.29254 9.33978e+10
7.30754 9.33679e+10
7.32254 9.3337e+10
7.33754 9.33052e+10
7.35254 9.32724e+10
7.36754 9.32388e+10
7.38254 9.32044e+10
7.39754 9.31693e+10
7.41254 9.31337e+10
7.42754 9.30974e+10
7.44254 9.30607e+10
7.45754 9.30237e+10
7.47254 9.29865e+10
7.48754 9.29492e+10
7.50254 9.2912e+10
7.51754 9.2875e+10
7.53254 9.28384e+10
7.54754 9.28025e+10
7.56254 9.27674e+10
7.57755 9.27333e+10
7.59255 9.27006e+10
7.60755 9.26696e+10
7.62255 9.26406e+10
7.63755 9.2614e+10
7.65255 9.25903e+10
7.66755 9.25699e+10
7.68255 9.25534e+10
7.69755 9.25415e+10
7.71255 9.25348e+10
7.72755 9.25342e+10
7.74255 9.25408e+10
7.75755 9.25554e+10
7.77255 9.25796e+10
7.78755 9.26147e+10
7.80255 9.26626e+10
