Transport code output file.

Total source generations: 31
Right leakage: 1.17001e+10 neutrons, 0.293239%
Left leakage : 1.17001e+10 neutrons, 0.293239%

_____Total Flux_____
dist | flux
0.025 3.42787e+10
0.075 3.49292e+10
0.125 3.55554e+10
0.175 3.61612e+10
0.225 3.67496e+10
0.275 3.7323e+10
0.325 3.78833e+10
0.375 3.84323e+10
0.425 3.89714e+10
0.475 3.95017e+10
0.525 4.00244e+10
0.575 4.05403e+10
0.625 4.10503e+10
0.675 4.15549e+10
0.725 4.20549e+10
0.775 4.25507e+10
0.825 4.30429e+10
0.875 4.35318e+10
0.925 4.40179e+10
0.975 4.45014e+10
1.025 4.49827e+10
1.075 4.54621e+10
1.125 4.59398e+10
1.175 4.6416e+10
1.225 4.68909e+10
1.275 4.73648e+10
1.325 4.78378e+10
1.375 4.831e+10
1.425 4.87817e+10
1.475 4.92529e+10
1.525 4.97239e+10
1.575 5.01946e+10
1.625 5.06653e+10
1.675 5.1136e+10
1.725 5.16069e+10
1.775 5.2078e+10
1.825 5.25495e+10
1.875 5.30215e+10
1.925 5.3494e+10
1.975 5.39671e+10
2.025 5.4441e+10
2.075 5.49156e+10
2.125 5.53912e+10
2.175 5.58677e+10
2.225 5.63452e+10
2.275 5.68239e+10
2.325 5.73038e+10
2.375 5.77849e+10
2.425 5.82674e+10
2.475 5.87513e+10
2.525 5.92367e+10
2.575 5.97237e+10
2.625 6.02124e+10
2.675 6.07027e+10
2.725 6.11949e+10
2.775 6.1689e+10
2.825 6.2185e+10
2.875 6.2683e+10
2.925 6.31831e+10
2.975 6.36854e+10
3.025 6.41901e+10
3.075 6.4697e+10
3.125 6.52063e+10
3.175 6.57182e+10
3.225 6.62327e+10
3.275 6.67498e+10
3.325 6.72697e+10
3.375 6.77925e+10
3.425 6.83182e+10
3.475 6.88469e+10
3.525 6.93788e+10
3.575 6.99139e+10
3.625 7.04523e+10
3.675 7.09941e+10
3.72501 7.15395e+10
3.77501 7.20884e+10
3.82501 7.26411e+10
3.87501 7.31977e+10
3.92501 7.37582e+10
3.97501 7.43227e+10
4.02501 7.48914e+10
4.07501 7.54644e+10
4.12501 7.60419e+10
4.17501 7.66239e+10
4.22501 7.72105e+10
4.27501 7.7802e+10
4.32501 7.83984e+10
4.37501 7.89998e+10
4.42501 7.96065e+10
4.47501 8.02186e+10
4.52501 8.08361e+10
4.57501 8.14594e+10
4.62501 8.20883e+10
4.67501 8.27233e+10
4.72501 8.33645e+10
4.77501 8.40119e+10
4.82501 8.46659e+10
4.87501 8.53265e+10
4.92501 8.59939e+10
4.97501 8.66683e+10
5.02501 8.735e+10
5.07501 8.80391e+10
5.12501 8.87358e+10
5.17501 8.94402e+10
5.22501 9.01528e+10
5.27501 9.08736e+10
5.32501 9.16028e+10
5.37501 9.23407e+10
5.42501 9.30875e+10
5.47501 9.38435e+10
5.52501 9.46089e+10
5.57501 9.53839e+10
5.62501 9.61689e+10
5.67501 9.69639e+10
5.72501 9.77695e+10
5.77501 9.85857e+10
5.82501 9.94129e+10
5.87501 1.00251e+11
5.92501 1.01101e+11
5.97501 1.01963e+11
6.00751 1.02528e+11
6.02251 1.02788e+11
6.03751 1.03045e+11
6.05252 1.03301e+11
6.06752 1.03554e+11
6.08252 1.03805e+11
6.09752 1.04054e+11
6.11252 1.04301e+11
6.12752 1.04546e+11
6.14252 1.04789e+11
6.15752 1.05029e+11
6.17252 1.05267e+11
6.18752 1.05503e+11
6.20252 1.05737e+11
6.21752 1.05969e+11
6.23252 1.06199e+11
6.24752 1.06427e+11
6.26252 1.06652e+11
6.27752 1.06876e+11
6.29252 1.07097e+11
6.30752 1.07317e+11
6.32252 1.07534e+11
6.33752 1.07749e+11
6.35252 1.07962e+11
6.36752 1.08173e+11
6.38252 1.08382e+11
6.39752 1.08589e+11
6.41252 1.08794e+11
6.42752 1.08998e+11
6.44252 1.09198e+11
6.45752 1.09397e+11
6.47252 1.09594e+11
6.48752 1.09789e+11
6.50253 1.09982e+11
6.51753 1.10173e+11
6.53253 1.10362e+11
6.54753 1.10549e+11
6.56253 1.10734e+11
6.57753 1.10918e+11
6.59253 1.11099e+11
6.60753 1.11278e+11
6.62253 1.11455e+11
6.63753 1.1163e+11
6.65253 1.11804e+11
6.66753 1.11975e+11
6.68253 1.12145e+11
6.69753 1.12312e+11
6.71253 1.12478e+11
6.72753 1.12642e+11
6.74253 1.12803e+11
6.75753 1.12963e+11
6.77253 1.13121e+11
6.78753 1.13277e+11
6.80253 1.13432e+11
6.81753 1.13584e+11
6.83253 1.13734e+11
6.84753 1.13883e+11
6.86253 1.14029e+11
6.87753 1.14174e+11
6.89253 1.14317e+11
6.90753 1.14458e+11
6.92253 1.14597e+11
6.93754 1.14734e+11
6.95254 1.1487e+11
6.96754 1.15003e+11
6.98254 1.15135e+11
6.99754 1.15265e+11
7.01254 1.15393e+11
7.02754 1.15519e+11
7.04254 1.15644e+11
7.05754 1.15766e+11
7.07254 1.15887e+11
7.08754 1.16006e+11
7.10254 1.16122e+11
7.11754 1.16238e+11
7.13254 1.16351e+11
7.14754 1.16463e+11
7.16254 1.16572e+11
7.17754 1.1668e+11
7.19254 1.16786e+11
7.20754 1.1689e+11
7.22254 1.16993e+11
7.23754 1.17093e+11
7.25254 1.17192e+11
7.26754 1.17289e+11
7.28254 1.17384e+11
7.29754 1.17477e+11
7.31254 1.17569e+11
7.32754 1.17659e+11
7.34254 1.17747e+11
7.35754 1.17833e+11
7.37255 1.17917e+11
7.38755 1.18e+11
7.40255 1.1808e+11
7.41755 1.18159e+11
7.43255 1.18237e+11
7.44755 1.18312e+11
7.46255 1.18386e+11
7.47755 1.18457e+11
7.49255 1.18527e+11
7.50755 1.18595e+11
7.52255 1.18662e+11
7.53755 1.18726e+11
7.55255 1.18789e+11
7.56755 1.1885e+11
7.58255 1.1891e+11
7.59755 1.18967e+11
7.61255 1.19023e+11
7.62755 1.19077e+11
7.64255 1.19129e+11
7.65755 1.19179e+11
7.67255 1.19227e+11
7.68755 1.19274e+11
7.70255 1.19319e+11
7.71755 1.19362e+11
7.73255 1.19403e+11
7.74755 1.19443e+11
7.76255 1.19481e+11
7.77755 1.19517e+11
7.79255 1.19551e+11
7.80756 1.19583e+11
7.82256 1.19614e+11
7.83756 1.19643e+11
7.85256 1.19669e+11
7.86756 1.19695e+11
7.88256 1.19718e+11
7.89756 1.1974e+11
7.91256 1.19759e+11
7.92756 1.19777e+11
7.94256 1.19793e+11
7.95756 1.19808e+11
7.97256 1.1982e+11
7.98756 1.19831e+11
8.02006 1.19855e+11
8.07006 1.19902e+11
8.12006 1.19965e+11
8.17006 1.20045e+11
8.22006 1.20142e+11
8.27006 1.20255e+11
8.32006 1.20385e+11
8.37005 1.20532e+11
8.42005 1.20695e+11
8.47005 1.20875e+11
8.52005 1.21071e+11
8.57005 1.21285e+11
8.62005 1.21515e+11
8.67005 1.21762e+11
8.72005 1.22026e+11
8.77005 1.22307e+11
8.82005 1.22605e+11
8.87005 1.2292e+11
8.92005 1.23252e+11
8.97005 1.23602e+11
9.00254 1.23836e+11
9.01754 1.23944e+11
9.03254 1.24051e+11
9.04754 1.24156e+11
9.06254 1.24259e+11
9.07754 1.24361e+11
9.09254 1.24461e+11
9.10754 1.24559e+11
9.12254 1.24655e+11
9.13754 1.2475e+11
9.15254 1.24843e+11
9.16754 1.24934e+11
9.18254 1.25024e+11
9.19754 1.25111e+11
9.21254 1.25198e+11
9.22754 1.25282e+11
9.24253 1.25365e+11
9.25753 1.25446e+11
9.27253 1.25525e+11
9.28753 1.25603e+11
9.30253 1.25679e+11
9.31753 1.25753e+11
9.33253 1.25826e+11
9.34753 1.25897e+11
9.36253 1.25967e+11
9.37753 1.26034e+11
9.39253 1.261e+11
9.40753 1.26165e+11
9.42253 1.26227e+11
9.43753 1.26288e+11
9.45253 1.26348e+11
9.46753 1.26406e+11
9.48252 1.26462e+11
9.49752 1.26516e+11
9.51252 1.26569e+11
9.52752 1.2662e+11
9.54252 1.2667e+11
9.55752 1.26717e+11
9.57252 1.26764e+11
9.58752 1.26808e+11
9.60252 1.26851e+11
9.61752 1.26893e+11
9.63252 1.26932e+11
9.64752 1.2697e+11
9.66252 1.27007e+11
9.67752 1.27042e+11
9.69252 1.27075e+11
9.70752 1.27106e+11
9.72252 1.27136e+11
9.73751 1.27165e+11
9.75251 1.27191e+11
9.76751 1.27216e+11
9.78251 1.2724e+11
9.79751 1.27262e+11
9.81251 1.27282e+11
9.82751 1.273e+11
9.84251 1.27317e+11
9.85751 1.27333e+11
9.87251 1.27346e+11
9.88751 1.27358e+11
9.90251 1.27369e+11
9.91751 1.27378e+11
9.93251 1.27385e+11
9.94751 1.27391e+11
9.96251 1.27395e+11
9.9775 1.27397e+11
9.9925 1.27398e+11
10.0075 1.27397e+11
10.0225 1.27395e+11
10.0375 1.27391e+11
10.0525 1.27385e+11
10.0675 1.27378e+11
10.0825 1.27369e+11
10.0975 1.27358e+11
10.1125 1.27346e+11
10.1275 1.27333e+11
10.1425 1.27317e+11
10.1575 1.273e+11
10.1725 1.27282e+11
10.1875 1.27262e+11
10.2025 1.2724e+11
10.2175 1.27216e+11
10.2325 1.27191e+11
10.2475 1.27165e+11
10.2625 1.27136e+11
10.2775 1.27106e+11
10.2925 1.27075e+11
10.3075 1.27042e+11
10.3225 1.27007e+11
10.3375 1.2697e+11
10.3525 1.26932e+11
10.3675 1.26893e+11
10.3825 1.26851e+11
10.3975 1.26808e+11
10.4125 1.26764e+11
10.4275 1.26717e+11
10.4425 1.2667e+11
10.4575 1.2662e+11
10.4725 1.26569e+11
10.4875 1.26516e+11
10.5025 1.26462e+11
10.5175 1.26405e+11
10.5325 1.26348e+11
10.5475 1.26288e+11
10.5625 1.26227e+11
10.5775 1.26165e+11
10.5925 1.261e+11
10.6075 1.26034e+11
10.6225 1.25967e+11
10.6375 1.25897e+11
10.6525 1.25826e+11
10.6675 1.25753e+11
10.6825 1.25679e+11
10.6975 1.25603e+11
10.7125 1.25525e+11
10.7275 1.25446e+11
10.7425 1.25365e+11
10.7575 1.25282e+11
10.7725 1.25198e+11
10.7875 1.25111e+11
10.8025 1.25024e+11
10.8175 1.24934e+11
10.8325 1.24843e+11
10.8475 1.2475e+11
10.8625 1.24655e+11
10.8775 1.24559e+11
10.8925 1.24461e+11
10.9075 1.24361e+11
10.9225 1.24259e+11
10.9375 1.24156e+11
10.9525 1.24051e+11
10.9675 1.23944e+11
10.9825 1.23836e+11
11.015 1.23602e+11
11.065 1.23252e+11
11.115 1.2292e+11
11.165 1.22605e+11
11.215 1.22307e+11
11.265 1.22026e+11
11.315 1.21762e+11
11.365 1.21515e+11
11.415 1.21285e+11
11.465 1.21071e+11
11.515 1.20875e+11
11.565 1.20695e+11
11.615 1.20532e+11
11.665 1.20385e+11
11.715 1.20255e+11
11.765 1.20142e+11
11.815 1.20045e+11
11.865 1.19965e+11
11.9149 1.19902e+11
11.9649 1.19855e+11
11.9974 1.19831e+11
12.0124 1.1982e+11
12.0274 1.19808e+11
12.0424 1.19793e+11
12.0574 1.19777e+11
12.0724 1.19759e+11
12.0874 1.1974e+11
12.1024 1.19718e+11
12.1174 1.19695e+11
12.1324 1.19669e+11
12.1474 1.19643e+11
12.1624 1.19614e+11
12.1774 1.19583e+11
12.1924 1.19551e+11
12.2074 1.19517e+11
12.2224 1.19481e+11
12.2374 1.19443e+11
12.2524 1.19403e+11
12.2674 1.19362e+11
12.2824 1.19319e+11
12.2974 1.19274e+11
12.3124 1.19227e+11
12.3274 1.19179e+11
12.3424 1.19129e+11
12.3574 1.19077e+11
12.3724 1.19023e+11
12.3874 1.18967e+11
12.4024 1.1891e+11
12.4174 1.1885e+11
12.4324 1.18789e+11
12.4474 1.18726e+11
12.4624 1.18662e+11
12.4774 1.18595e+11
12.4924 1.18527e+11
12.5074 1.18457e+11
12.5224 1.18386e+11
12.5374 1.18312e+11
12.5524 1.18237e+11
12.5674 1.18159e+11
12.5824 1.18081e+11
12.5974 1.18e+11
12.6124 1.17917e+11
12.6274 1.17833e+11
12.6424 1.17747e+11
12.6574 1.17659e+11
12.6724 1.17569e+11
12.6874 1.17477e+11
12.7024 1.17384e+11
12.7174 1.17289e+11
12.7324 1.17192e+11
12.7474 1.17093e+11
12.7624 1.16993e+11
12.7774 1.1689e+11
12.7924 1.16786e+11
12.8074 1.1668e+11
12.8224 1.16572e+11
12.8374 1.16463e+11
12.8524 1.16351e+11
12.8674 1.16238e+11
12.8824 1.16122e+11
12.8974 1.16006e+11
12.9124 1.15887e+11
12.9274 1.15766e+11
12.9424 1.15644e+11
12.9574 1.15519e+11
12.9724 1.15393e+11
12.9874 1.15265e+11
13.0024 1.15135e+11
13.0174 1.15003e+11
13.0324 1.1487e+11
13.0474 1.14734e+11
13.0624 1.14597e+11
13.0774 1.14458e+11
13.0924 1.14317e+11
13.1074 1.14174e+11
13.1224 1.14029e+11
13.1374 1.13883e+11
13.1524 1.13734e+11
13.1674 1.13584e+11
13.1824 1.13432e+11
13.1974 1.13277e+11
13.2124 1.13121e+11
13.2274 1.12963e+11
13.2424 1.12803e+11
13.2574 1.12642e+11
13.2724 1.12478e+11
13.2874 1.12312e+11
13.3024 1.12145e+11
13.3174 1.11975e+11
13.3324 1.11804e+11
13.3474 1.1163e+11
13.3624 1.11455e+11
13.3774 1.11278e+11
13.3924 1.11099e+11
13.4074 1.10918e+11
13.4224 1.10735e+11
13.4374 1.10549e+11
13.4524 1.10362e+11
13.4674 1.10173e+11
13.4824 1.09982e+11
13.4974 1.09789e+11
13.5124 1.09594e+11
13.5274 1.09397e+11
13.5424 1.09198e+11
13.5574 1.08998e+11
13.5724 1.08794e+11
13.5874 1.08589e+11
13.6024 1.08382e+11
13.6174 1.08173e+11
